,state,avg_hcc_score,max_hcc_score,min_hcc_score,total_facilities
0,CA,2.6128782287822863,9.15,1.11,1084
1,LA,2.5579591836734683,4.91,1.39,294
2,NJ,2.5559610027855166,5.36,1.53,359
3,TX,2.5457916666666716,5.75,1.23,1200
4,FL,2.514389534883723,5.7,1.11,688
5,NV,2.5131818181818173,4.73,1.49,44
6,MI,2.5044811320754707,7.12,1.2,424
7,OH,2.4548717948717957,7.07,0.85,936
8,GA,2.4497002724795665,4.31,1.3,367
9,AZ,2.415434782608696,5.42,1.27,138
10,NY,2.3961003236245966,6.09,1.16,618
11,MD,2.395470852017937,6.77,1.15,223
12,IL,2.3881946403385075,6.21,0.81,709
13,PA,2.3773399715504993,7.84,1.12,703
14,CT,2.3354666666666675,5.51,1.32,225
15,DE,2.331315789473684,3.24,1.28,38
16,IN,2.3305675146771057,5.93,1.3,511
17,KY,2.325520833333335,4.74,1.36,288
18,WV,2.3089565217391295,3.55,1.45,115
19,TN,2.3062654320987654,3.33,1.18,324
20,RI,2.306172839506173,4.06,1.49,81
21,MA,2.2985925925925925,5.2,1.11,405
22,MO,2.296881287726358,5.33,1.39,497
23,NC,2.278561151079136,3.7,1.12,417
24,SC,2.2761780104712046,3.92,0.99,191
25,OK,2.2562886597938157,4.3,1.16,291
26,MS,2.2492964824120607,4.09,1.22,199
27,VA,2.247285714285714,6.0,0.87,280
28,DC,2.217777777777778,4.21,1.17,18
29,AL,2.1736820083682025,3.98,1.24,239
30,AR,2.1614102564102553,3.65,1.17,234
31,NM,2.152615384615384,3.85,1.27,65
32,WA,2.139431279620853,3.84,1.37,211
33,CO,2.1368717948717935,5.02,0.84,195
34,WI,2.0878167115902966,4.45,0.86,371
35,OR,2.0582644628099183,3.97,1.33,121
36,ID,2.0438356164383564,3.21,1.26,73
37,KS,2.031324041811847,3.79,0.93,287
38,AK,2.0285714285714285,2.32,1.77,7
39,ME,2.0080808080808077,2.74,1.34,99
40,UT,1.9826315789473687,3.16,1.11,95
41,NH,1.9731081081081085,2.69,1.15,74
42,ND,1.9374647887323944,3.21,1.27,71
43,VT,1.9305555555555556,2.44,1.54,36
44,IA,1.9154791154791149,3.92,1.14,407
45,HI,1.9139999999999995,2.75,0.75,35
46,NE,1.912487046632124,3.16,1.17,193
47,MN,1.9081534090909091,3.99,1.17,352
48,MT,1.8514754098360653,3.08,0.79,61
49,SD,1.835959595959596,3.02,0.97,99
50,WY,1.7444827586206895,2.37,1.12,29
51,PR,1.322,1.6,1.07,5
